latitude;longitude;altitude;geometry;coordinates;line;sectionId;color;origin;destination
;;;LineString;-1.360714742904948,-5.980780087975075,-1.360714984475944,-5.980677401857763                                                                                                                                                                                    ;13;320;#6ec4e8;Basilique de Saint-Denis                  ;Saint-Denis - Université                  
;;;LineString;-1.360477437413758,-5.981425065073611,-1.360477232317755,-5.981498795348034                                                                                                                                                                                    ;3b             ;357;#6ec4e8;Porte des Lilas                           ;Saint-Fargeau                             
;;;LineString;-1.361197548492809,-5.981981236468326,-1.3611981190835,-5.98197763561134,-1.361198223912721,-5.981938515137363                                                                                                                                                 ;13;324;#6ec4e8;Duroc                                     ;Saint-François-Xavier                     
;;;LineString;-1.361160448731407,-5.981371911964918,-1.36116054482579,-5.981336309171903                                                                                                                                                                                     ;12;293;#7852  ;Notre-Dame-de-Lorette                     ;Saint-Georges                             
;;;LineString;-1.361001678066704,-5.981865031284648,-1.36103648462164,-5.981865149788992,-1.361037319189554,-5.981865178125501                                                                                                                                               ;4;85;#cf009e;Odéon                                     ;Saint-Germain-des-Prés                    
;;;LineString;-1.360875040839551,-5.982133506263644,-1.360926917677361,-5.982133653450775                                                                                                                                                                                    ;6;123;#6eca97;Glacière                                  ;Saint-Jacques                             
;;;LineString;-1.361351689376153,-5.981479458759135,-1.361336515617342,-5.981494567143003,-1.36133490860546,-5.981495811114279,-1.361333942385646,-5.981496353436301,-1.361332909438904,-5.981496825513604,-1.36133184439772,-5.981497216788331,-1.361330776965263,-5.9814975;3;48;#837902;Europe                                    ;Saint-Lazare                              
;;;LineString;-1.361301783634101,-5.981555189644109,-1.361253858249027,-5.981506861474605,-1.361252618200688,-5.98150525356519,-1.361251602077163,-5.981503254574014,-1.361250919059498,-5.981501117986742,-1.361250671475749,-5.981499100314621,-1.361250675863372,-5.981497;13;339;#6ec4e8;Miromesnil                                ;Saint-Lazare                              
;;;LineString;-1.360462343853947,-5.981863194824023,-1.360406378760871,-5.981863047387388,-1.360403953040556,-5.981863902187518,-1.36037203007654,-5.981895685327546,-1.360369778112318,-5.981896683017661,-1.360336498947825,-5.981896589453465                             ;1;12;#ffcd00;Porte de Vincennes                        ;Saint-Mandé                               
;;;LineString;-1.360788674801741,-5.982089346241183,-1.360788757157415,-5.982058583941066                                                                                                                                                                                    ;5;115;#ff7e2e;Campo-Formio                              ;Saint-Marcel                              
;;;LineString;-1.3607070645547,-5.981569947428935,-1.360690528872215,-5.981586414074811,-1.360688923018872,-5.98158765577747,-1.3606869242349,-5.981588672858396,-1.36068478911419,-5.981589356428292,-1.360682771191563,-5.981589603679961,-1.360638909609291,-5.98158948011;3;69;#837902;Parmentier                                ;Rue Saint-Maur                            
;;;LineString;-1.360986773949056,-5.981783870800443,-1.360986650140561,-5.981829797423662                                                                                                                                                                                    ;4;74;#cf009e;Cité                                      ;Saint-Michel                              
;;;LineString;-1.360868953544961,-5.981706383978096,-1.360864804307621,-5.981707315180553,-1.360861198151489,-5.98170957356713,-1.360840286895328,-5.981730396209077                                                                                                         ;1;6;#ffcd00;Hôtel de Ville                            ;Saint-Paul                                
;;;LineString;-1.361341342400533,-5.98168405777175,-1.36134160488079,-5.981587061128947,-1.361341357680857,-5.981585043079618,-1.361340674661986,-5.981582908017094                                                                                                          ;9;249;#b6bd00;Franklin D. Roosevelt                     ;Saint-Philippe du Roule                   
;;;LineString;-1.361071457973823,-5.981936905719091,-1.361131697637514,-5.981997549748962                                                                                                                                                                                    ;4;91;#cf009e;Saint-Sulpice                             ;Saint-Placide                             
;;;LineString;-1.361037319189554,-5.981865178125501,-1.36103817149454,-5.981865254481935,-1.361039467951906,-5.981865458914003,-1.361039902321433,-5.981865550033286,-1.361040337039179,-5.981865652574512,-1.361040772870973,-5.981865764636419,-1.361041208673948,-5.981865;4;86;#cf009e;Saint-Germain-des-Prés                    ;Saint-Sulpice                             
;;;LineString;-1.360767659726698,-5.981621840313487,-1.360767480996512,-5.981688371052132                                                                                                                                                                                    ;8;209;#e19bdf;Filles du Calvaire                        ;Saint-Sébastien - Froissart               
;;;LineString;-1.360927494937397,-5.98136261185171,-1.360927603139797,-5.981322244999012,-1.3609275973777,-5.981321994481254,-1.360927578290888,-5.981321749634926,-1.360927548936288,-5.981321505139183,-1.36092750739665,-5.981321266698892,-1.360927451780334,-5.981321030;5;105;#ff7e2e;Gare du Nord                              ;Stalingrad                                
;;;LineString;-1.360729261455671,-5.981356713709849,-1.360730838092857,-5.981358302805429,-1.360732440143045,-5.981359371558255,-1.360734269287725,-5.981359731351582,-1.360736100797796,-5.981359382288107,-1.360737709948425,-5.981358322947682,-1.360755812490187,-5.98134;5;108;#ff7e2e;Jaurès                                    ;Stalingrad                                
;;;LineString;-1.360936075752155,-5.981310365353518,-1.360780817772364,-5.98130992753539,-1.36077880364169,-5.981310175938408,-1.36077666965344,-5.981310859511402,-1.360774672005254,-5.981311875454952,-1.360773067282461,-5.981313118305852,-1.360751759788706,-5.98133432;2;29;#003ca6;La Chapelle                               ;Stalingrad                                
;;;LineString;-1.360704800236439,-5.98128704769474,-1.360754188835844,-5.98133676727301                                                                                                                                                                                      ;7;155;#fa9aba;Riquet                                    ;Stalingrad                                
;;;LineString;-1.360949388361185,-5.9815337876335,-1.360881710684619,-5.981533596348815                                                                                                                                                                                      ;8;194;#e19bdf;Bonne-Nouvelle                            ;Strasbourg - Saint-Denis                  
;;;LineString;-1.360949253989256,-5.981526649129151,-1.360881730686166,-5.981526458677692                                                                                                                                                                                    ;9;243;#b6bd00;Bonne-Nouvelle                            ;Strasbourg - Saint-Denis                  
;;;LineString;-1.360881592742566,-5.981577584640204,-1.360881730686166,-5.981526458677692                                                                                                                                                                                    ;4;73;#cf009e;Réaumur - Sébastopol                      ;Strasbourg - Saint-Denis                  
;;;LineString;-1.360919890305418,-5.981744520191447,-1.360831332667881,-5.981832773489253                                                                                                                                                                                    ;7;160;#fa9aba;Pont Marie                                ;Sully - Morland                           
;;;LineString;-1.361052066905554,-5.981883439673544,-1.361096616603557,-5.981928288251083                                                                                                                                                                                    ;10;260;#c9910d;Mabillon                                  ;Sèvres - Babylone                         
;;;LineString;-1.361096456929163,-5.981987387916477,-1.361096616603557,-5.981928288251083                                                                                                                                                                                    ;12;303;#7852  ;Rennes                                    ;Sèvres - Babylone                         
;;;LineString;-1.36122496997667,-5.982087522522787,-1.361256690714309,-5.982055938721718                                                                                                                                                                                     ;6;143;#6eca97;Pasteur                                   ;Sèvres - Lecourbe                         
;;;LineString;-1.361300194075907,-5.982012628679763,-1.361300112170523,-5.982012547350803,-1.361233308346976,-5.982012357214844,-1.361232793919708,-5.982012339714744,-1.36123252971213,-5.982012316477694,-1.361232260582729,-5.98201228561225,-1.361231988055691,-5.9820122;10;259;#c9910d;La Motte-Picquet - Grenelle               ;Ségur                                     
;;;LineString;-1.360841413798501,-5.981569621367763,-1.360821534826348,-5.981549611020656                                                                                                                                                                                    ;3;59;#837902;Arts et Métiers                           ;Temple                                    
;;;LineString;-1.361427022331782,-5.981584406693012,-1.361427074853241,-5.981551090747287                                                                                                                                                                                    ;2;47;#003ca6;Charles de Gaulle - Étoile                ;Ternes                                    
;;;LineString;-1.360795252856787,-5.982133283761402,-1.360794579210425,-5.982136215810169,-1.360794448673111,-5.982185131027608                                                                                                                                              ;7;158;#fa9aba;Place d'Italie                            ;Tolbiac                                   
;;;LineString;-1.361237470989445,-5.981497499529348,-1.361237509588265,-5.981483341053286,-1.361237262005207,-5.98148132299997,-1.361236967271417,-5.981480253130301,-1.361236578986985,-5.981479186412129,-1.361236104671384,-5.981478153323473,-1.361235562865943,-5.981477;12;310;#7852  ;Saint-Lazare                              ;Trinité - d'Estienne d'Orves              
;;;LineString;-1.361426222473415,-5.981876733177157,-1.361426320943615,-5.981840323580085                                                                                                                                                                                    ;6;138;#6eca97;Passy                                     ;Trocadéro                                 
