Geo Point;Geo Shape;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
-5.98112580101,-1.36123761099;"{""type"": ""Point"", ""coordinates"": [-1.361237610989077, -5.981125801009889]}";43252;323;GARIBALDI;Garibaldi;METRO;;A01546;METRO 13;METRO 13-114073;13;319.64745514;420.76425292
-5.98105513297,-1.36117440606;"{""type"": ""Point"", ""coordinates"": [-1.361174406060977, -5.981055132974431]}";43969;493;MAIRIE DE SAINT-OUEN;Mairie de St-Ouen;METRO;;A01546;METRO 13;METRO 13-114075;13;330.40258789;431.51678467
-5.98088994717,-1.36096427995;"{""type"": ""Point"", ""coordinates"": [-1.3609642799454, -5.980889947166766]}";44861;762;SAINT-DENIS-PORTE DE PARIS;St-Denis-Pte de Paris;METRO;;A01546;METRO 13;METRO 13-114079;13;365.54091539;456.09762381
-5.9812731098,-1.36127397395;"{""type"": ""Point"", ""coordinates"": [-1.361273973946715, -5.981273109798718]}";43548;416;LA FOURCHE;La Fourche;METRO;;A01546;METRO 13;METRO 13-114067;13;312.51571971;397.50556156
-5.98122590585,-1.36127657574;"{""type"": ""Point"", ""coordinates"": [-1.361276575739097, -5.981225905850717]}";43333;342;GUY MOQUET;Guy Moquet;METRO;;A01546;METRO 13;METRO 13-114069;13;312.5165159;405.08496174
-5.98117829476,-1.3612792032;"{""type"": ""Point"", ""coordinates"": [-1.36127920319693, -5.981178294763182]}";44525;696;PORTE DE SAINT-OUEN;Pte de St-Ouen;METRO;;A01546;METRO 13;METRO 13-114071;13;312.51731617;412.56129196
-5.98226358423,-1.36093639457;"{""type"": ""Point"", ""coordinates"": [-1.360936394571294, -5.982263584227807]}";45339;988;CITÉ UNIVERSITAIRE;Cité Universitaire;TRAM;;A01193;TRAM 3a;TRAM 3a-306;3A;357.85357692;235.9591383
-5.98187807553,-1.36118929262;"{""type"": ""Point"", ""coordinates"": [-1.361189292621322, -5.981878075525061]}";45131;873;VARENNE;Varenne;METRO;;A01546;METRO 13;METRO 13-114053;13;320.733365;299.91259301
-5.98087293483,-1.36167673812;"{""type"": ""Point"", ""coordinates"": [-1.361676738121, -5.980872934827712]}";43693;1007;LES AGNETTES;Les Agnettes;METRO;;A01546;METRO 13;METRO 13-113077;13;251.50732422;465.13391113
-5.98234451938,-1.36109793689;"{""type"": ""Point"", ""coordinates"": [-1.36109793689087, -5.982344519382584]}";413433;504;MALAKOFF-PLATEAU DE VANVES;Malakoff-Plateau de Vanves;METRO;;A01546;METRO 13;METRO 13-114037;13;331.24672308;224.43437275
