Geo Point;station_x;station_y;station_x_untruncated;station_y_untruncated;Geo Shape3;Geo Shape2;ID_REF_ZDL;GARES_ID;NOM_GARE;NOM_IV;MODE_;TERMINUS;IDREFLIGA;RES_COM;LIGNE_CODE;INDICE_LIG;X;Y
;-1,36087;-5,98169;-1,360868062;-5,981691964;"{""type"": ""Point"", ""coordinates"": [-1.360868062319464, -5.981691964336752]}";"{""type"": ""Point"", ""coordinates"": [-1.360868062319464, -5.981691964336752]}";415851;353;HÔTEL DE VILLE;Hôtel de Ville;METRO;;A01544;METRO 11;METRO 11-101051;11;373.8638916;326.85888672
;-1,36075;-5,98176;-1,360749547;-5,981757649;"{""type"": ""Point"", ""coordinates"": [-1.360749546526269, -5.981757648725139]}";"{""type"": ""Point"", ""coordinates"": [-1.360749546526269, -5.981757648725139]}";42288;56;BASTILLE;Bastille;METRO;;A01541;METRO 8;METRO 8-105071;8;392.27715855;315.29421918
;-1,36094;-5,98187;-1,360939683;-5,981868753;"{""type"": ""Point"", ""coordinates"": [-1.360939683188623, -5.981868753060418]}";"{""type"": ""Point"", ""coordinates"": [-1.360939683188623, -5.981868753060418]}";42674;192;CLUNY-LA SORBONNE;Cluny - La Sorbonne;METRO;;A01543;METRO 10;METRO 10-110060;10;360.82067871;299.19311523
;-1,36109;-5,98214;-1,36109351;-5,982139321;"{""type"": ""Point"", ""coordinates"": [-1.361093509952549, -5.982139320758805]}";"{""type"": ""Point"", ""coordinates"": [-1.361093509952549, -5.982139320758805]}";45313;250;EDGAR QUINET;Edgar Quinet;METRO;;A01539;METRO 6;METRO 6-106061;6;333.77227783;257.24353027
;-1,36077;-5,98161;-1,360772026;-5,98160942;"{""type"": ""Point"", ""coordinates"": [-1.360772025960201, -5.981609419956086]}";"{""type"": ""Point"", ""coordinates"": [-1.360772025960201, -5.981609419956086]}";58727;283;FILLES DU CALVAIRE;Filles du Calvaire;METRO;;A01541;METRO 8;METRO 8-108053;8;389.98608767;339.22173014
;-1,36127;-5,98151;-1,361267671;-5,981510964;"{""type"": ""Point"", ""coordinates"": [-1.361267670997324, -5.981510964373542]}";"{""type"": ""Point"", ""coordinates"": [-1.361267670997324, -5.981510964373542]}";58566;771;SAINT-LAZARE;St-Lazare;METRO;;A01536;METRO 3;METRO 3-329;3;311.4208374;359.37420654
;-1,36075;-5,98177;-1,360749022;-5,981767718;"{""type"": ""Point"", ""coordinates"": [-1.360749021752418, -5.981767718233886]}";"{""type"": ""Point"", ""coordinates"": [-1.360749021752418, -5.981767718233886]}";42288;54;BASTILLE;Bastille;METRO;;A01534;METRO 1;METRO 1-105071;1;392.27220225;313.67763272
;-1,36083;-5,98154;-1,360829607;-5,981540109;"{""type"": ""Point"", ""coordinates"": [-1.360829607415009, -5.981540109255848]}";"{""type"": ""Point"", ""coordinates"": [-1.360829607415009, -5.981540109255848]}";44924;849;TEMPLE;Temple;METRO;;A01536;METRO 3;METRO 3-103047;3;381.37091065;350.8270874
;-1,36068;-5,98166;-1,360683816;-5,981663973;"{""type"": ""Point"", ""coordinates"": [-1.360683816002834, -5.981663973185224]}";"{""type"": ""Point"", ""coordinates"": [-1.360683816002834, -5.981663973185224]}";45065;920;VOLTAIRE;Voltaire;METRO;;A01542;METRO 9;METRO 9-109075;9;403.64068604;329.70727539
;-1,36072;-5,98183;-1,360716025;-5,981831966;"{""type"": ""Point"", ""coordinates"": [-1.360716025210903, -5.98183196642796]}";"{""type"": ""Point"", ""coordinates"": [-1.360716025210903, -5.98183196642796]}";43153;962;GARE DE LYON;Gare de Lyon;METRO;;A01534;METRO 1;METRO 1-338;1;396.99195256;303.10042911
